QID,Question,OptionA,OptionB,OptionC,OptionD,Answer,Marks
Q0220,Which practice helps ensure consistent compliance?,Regularly reviewing updates to applicable laws and regulations,Relying only on past experience,Avoiding official notifications,Depending on rumors,A,2
Q0221,A real estate agent should maintain professional communication even when:,A transaction is delayed,The buyer asks difficult questions,A complaint is received,All of the above,D,2
Q0222,"Before recommending a project to a buyer, an agent should understand:",The buyer's needs and the verified project details,Only the commission structure,Only the promoter's preferences,Only the project's location,A,2
Q0223,"If a buyer notices a mismatch between the approved plan and a marketing image, the agent should:",Clarify the difference using official documents,Ignore the concern,Tell the buyer the image is more accurate,Ask the buyer not to compare documents,A,2
Q0224,Which of the following best demonstrates accountability?,Correcting inaccurate information as soon as it is discovered,Continuing to use incorrect information,Blaming the buyer,Avoiding written communication,A,2
Q0225,A real estate agent should avoid creating:,Unrealistic expectations about project features,Accurate records,Transparent communication,Buyer confidence,A,2
Q0226,Which action is most appropriate when a buyer requests additional project documents?,Assist the buyer in obtaining documents that are available through official channels,Refuse without explanation,Create unofficial documents,Delay the request unnecessarily,A,2
Q0227,Which factor is most important when comparing two registered projects?,Verified information and buyer requirements,Highest commission,Office location of the agent,Number of advertisements,A,2
Q0228,"If an agent receives revised project pricing from the promoter, the agent should:",Continue using old pricing,"Update buyers with the revised, verified information",Ignore the revision,Set a new price independently,B,2
Q0229,Which of the following is an example of a professional conflict of interest?,Recommending a project solely because it pays a higher commission while hiding better- suited options,Explaining verified project details,Providing accurate documentation,Encouraging buyers to read agreements,A,2
Q0230,A buyer asks whether future appreciation is guaranteed. The agent should:,Guarantee appreciation,Explain that future market performance cannot be guaranteed,Promise a fixed annual return,Avoid answering,B,2
Q0231,The best way to reduce misunderstandings with buyers is:,Clear and documented communication,Verbal promises only,Frequent changes to terms,Avoiding written records,A,2
Q0232,"If an agent identifies an error in a project presentation before a public event, the agent should:",Correct the presentation before it is used,Present it anyway,Ignore the error,Wait for buyers to point it out,A,2
Q0233,Which action best reflects professionalism after a booking?,Continuing to assist the buyer with relevant information,Ending all communication,Ignoring documentation,Avoiding follow-up,A,2
Q0234,A buyer asks whether verbal assurances should replace written agreements. The correct response is:,"No, written agreements and official documents are important","Yes, verbal assurances are always enough",Written documents are optional,Ignore the question,A,2
Q0235,Which quality is essential when handling buyer complaints?,Patience and factual communication,Anger,Delay,Blame,A,2
Q0236,An agent should verify revised project details:,Before sharing them with prospective buyers,Only after possession,Only if the promoter insists,Never,A,2
Q0237,Which of the following is the best example of ethical advertising?,Using only verified facts and approved project information,Promising guaranteed profits,Hiding important terms,Using misleading photographs,A,2
Q0238,A buyer requests time to seek legal advice before signing. The agent should:,Respect the request,Discourage legal advice,Cancel the booking,Increase the price,A,2
Q0239,A real estate agent's professional reputation is built mainly through:,"Trust, transparency, and compliance",Expensive office interiors,Large advertising budgets,Fast sales alone,A,2
Q0240,Which statement best reflects the role of a certified real estate agent?,To facilitate property transactions ethically and in accordance with applicable laws,To approve building plans,To issue occupancy certificates,To determine property taxes,A,2
Q0241,The primary objective of project registration under RERA is to:,Increase property taxes,Ensure transparency and protect buyers,Reduce construction costs,Increase brokerage,B,2
Q0242,"Before marketing a project that requires registration under RERA, a promoter should:",Obtain project registration as required by the Act,Sell all units first,Complete construction,Register after possession,A,2
Q0243,Which authority grants registration to eligible real estate projects in Maharashtra?,Municipal Corporation,MahaRERA,Registrar of Companies,RBI,B,2
Q0244,"During project registration, the promoter is expected to submit:",Information and documents prescribed under the Act and Rules,Only passport details,Only GST returns,Only PAN card,A,2
Q0245,A buyer should verify the project's registration:,Before making a booking decision,After possession,Only after registration of the sale deed,It is not necessary,A,2
Q0246,Which stakeholder is primarily responsible for applying for project registration?,Buyer,Promoter,Real Estate Agent,Bank,B,2
Q0247,Registration helps buyers by:,Making project information publicly available as required,Guaranteeing property appreciation,Eliminating taxes,Reducing registration fees,A,2
Q0248,A real estate agent should verify:,The project's registration details before marketing,The buyer's social media account,The engineer's educational qualification,The architect's passport,A,2
Q0249,"If a project's registration has lapsed, an agent should:",Continue marketing,Verify the legal status before facilitating sales,Ignore the issue,Advertise without mentioning registration,B,2
Q0250,Which document is most useful for confirming a project's registration status?,Official MahaRERA project registration details,Newspaper advertisement,Promotional brochure,Visiting card,A,2
Q0251,The purpose of project disclosures is to:,Enable informed decisions by buyers,Increase brokerage,Reduce documentation,Increase taxes,A,2
Q0252,"If project information changes after registration, the promoter should:",Update information as required under applicable provisions,Keep it confidential,Inform only existing buyers verbally,Wait until completion,A,2
Q0253,Which of the following is a benefit of project registration?,Improved transparency,Better consumer confidence,Regulatory oversight,All of the above,D,2
Q0254,A buyer asks for proof that the project is registered. The agent should:,Help the buyer verify the official registration details,Give only verbal confirmation,Ask the buyer to trust the promoter,Ignore the request,A,2
Q0255,Registration information should be:,Accurate and up to date,Estimated,Confidential from buyers,Optional,A,2
Q0256,"If a promoter launches a new phase of a project, the agent should:",Verify the registration status applicable to that phase,Assume it is automatically covered,Ignore the phase details,Market it immediately without verification,A,2
Q0257,Which of the following helps reduce disputes?,Accurate project disclosures,Hidden conditions,Misleading advertisements,Oral commitments only,A,2
Q0258,A project registration number should be:,Used where required in advertisements and project communications,Kept secret,Shared only after possession,Removed from brochures,A,2
Q0259,"Before advising a buyer, an agent should:",Review the official project details,Depend on rumors,Trust verbal statements,Ignore documentation,A,2
Q0260,Which stakeholder benefits directly from transparent project registration?,Buyer,Promoter,Agent,All of the above,D,2
Q0261,A promoter should ensure that project information:,Matches official disclosures,Changes daily,Is shared only verbally,Is withheld from buyers,A,2
Q0262,"If an agent notices an error in the registration details displayed in marketing material, the agent should:",Correct it before continuing marketing,Ignore the mistake,Continue using the material,Hide the registration number,A,2
Q0263,The official source for project registration verification is:,MahaRERA portal,WhatsApp group,Facebook page,Local newspaper,A,2
Q0264,Registration under RERA encourages:,Professionalism,Accountability,Transparency,All of the above,D,2
Q0265,An agent should explain project registration to buyers because it:,Helps buyers make informed decisions,Is not important,Replaces legal documentation,Guarantees profit,A,2
Q0266,"Before publishing a new advertisement, the agent should:",Verify that registration details are correctly mentioned where required,Skip verification,Remove registration references,Depend only on the promoter's verbal confirmation,A,2
Q0267,Project registration primarily supports:,Consumer protection,Banking regulation,Vehicle registration,Company incorporation,A,2
Q0268,"If a buyer asks where official project details can be checked, the correct guidance is:",The MahaRERA portal,Social media comments,Local gossip,Television advertisements,A,2
Q0269,Which action is most appropriate before accepting a booking request?,Verify the latest project information and registration details,Accept payment immediately,Ignore project disclosures,Depend only on brochures,A,2
Q0270,The overall purpose of project registration under RERA is:,"Promote transparency, accountability, and consumer confidence",Increase construction costs,Reduce legal compliance,Eliminate documentation,A,2
Q0271,The promoter is responsible for ensuring that the information submitted during project registration remains:,Confidential,Accurate and updated as required,Available only to banks,Shared only after possession,B,2
Q0272,A promoter must not advertise a facility that:,Is approved and disclosed,Has not been officially approved or disclosed,Is available in another project,Is under discussion,B,2
Q0273,"During construction, a buyer requests the latest construction status. The promoter should:",Provide updates as required under applicable law and disclosures,Refuse to provide any information,Wait until completion,Provide only verbal updates,A,2
Q0274,A promoter should execute the Agreement for Sale:,Only after possession,As required under applicable law before proceeding with the transaction,After registration of the society,Only on buyer demand,B,2
Q0275,Which responsibility belongs primarily to the promoter?,Maintaining accuracy of project disclosures,Collecting property tax,Issuing PAN cards,Approving home loans,A,2
Q0276,A promoter should hand over project-related documents to the competent body:,Only if requested,As required under the applicable legal provisions,Never,After ten years,B,2
Q0277,A promoter should avoid:,Misrepresentation of project specifications,Maintaining records,Legal compliance,Buyer communication,A,2
Q0278,"If a promoter proposes a significant change in the sanctioned plan, the promoter should:",Follow the legal procedure and obtain required approvals/consents where applicable,Implement it immediately,Inform only the contractor,Keep it confidential,A,2
Q0279,Which document should accurately describe the property being sold?,Agreement for Sale,Visiting Card,Tax Receipt,Utility Bill,A,2
Q0280,A promoter's responsibility continues until:,Obligations under the Act and the agreement are fulfilled,The first advertisement,Registration application,Booking amount is received,A,2
Q0281,A promoter should provide buyers with:,Accurate project specifications,Estimated specifications only,Promotional slogans,Unverified information,A,2
Q0282,Which action best demonstrates transparency by a promoter?,Timely disclosure of material project information,Concealing delays,Hiding approvals,Avoiding communication,A,2
Q0283,A promoter is expected to maintain:,Proper project records,No documentation,Only marketing records,Personal notes,A,2
Q0284,"If construction is delayed, the promoter should:",Communicate accurately with allottees and comply with legal obligations,Stop responding,Hide the delay,Continue old schedules without clarification,A,2
Q0285,Which quality is essential for a promoter?,Accountability,Secrecy,Negligence,Misrepresentation,A,2
Q0286,A promoter should ensure that marketing material:,Matches the approved project details,Contains exaggerated claims,Omits important conditions,Uses misleading images,A,2
Q0287,A promoter should provide possession:,In accordance with the Agreement for Sale and applicable legal requirements,Whenever convenient,Without documentation,Only after resale,A,2
Q0288,Which responsibility helps reduce disputes?,Proper documentation,Verbal commitments only,Hidden conditions,Unofficial promises,A,2
Q0289,The promoter should maintain communication with:,"Allottees regarding significant project developments, as required",Nobody,Only contractors,Only architects,A,2
Q0290,A promoter should rectify defects when required under:,The applicable provisions of the Act and Agreement,Personal choice,Local customs only,Newspaper advice,A,2
Q0291,Which document forms the legal basis of the transaction between promoter and allottee?,Agreement for Sale,Brochure,Advertisement,Visiting Card,A,2
Q0292,The promoter should disclose:,Material project information required by law,Only attractive features,Only pricing,Only location,A,2
Q0293,Ethical conduct by the promoter primarily helps:,Build buyer confidence,Increase rumours,Delay projects,Reduce transparency,A,2
Q0294,Which party is primarily responsible for completing the project in accordance with applicable approvals?,Promoter,Buyer,Real Estate Agent,Bank,A,2
Q0295,A promoter should avoid accepting bookings based on:,False or misleading statements,Approved plans,Verified documents,Registered project details,A,2
Q0296,Which of the following best demonstrates compliance?,Following statutory requirements throughout the project,Ignoring updates,Avoiding disclosures,Delaying documentation,A,2
Q0297,A promoter should preserve project credibility by:,Honouring contractual and legal commitments,Making unrealistic promises,Changing terms without notice,Hiding changes,A,2
Q0298,Which stakeholder is directly responsible for project execution?,Promoter,Allottee,Agent,Banker,A,2
Q0299,Buyers benefit most when promoters:,Maintain transparency and compliance,Delay communication,Avoid disclosures,Depend on verbal assurances,A,2
Q0300,The ultimate objective of a promoter's duties under RERA is to:,Protect consumer interests while ensuring lawful project execution,Increase marketing expenses,Eliminate documentation,Increase brokerage,A,2
Q0301,An allottee has the right to receive information regarding:,Construction progress,Stage-wise completion,Project approvals as disclosed,All of the above,D,2
Q0302,Which of the following is a duty of an allottee?,Make payments as agreed in the Agreement for Sale,Approve building plans,Register the project,Issue possession certificates,A,2
Q0303,An allottee should carefully read the __________ before signing.,Agreement for Sale,Electricity Bill,Property Tax Receipt,Society Bye-laws,A,2
Q0304,"If an allottee delays payment without a valid contractual or legal basis, the allottee may:",Face consequences as provided under the agreement and applicable law,Automatically become the project owner,Receive a discount,Get additional parking free of cost,A,2
Q0305,Which right helps an allottee make an informed purchasing decision?,Access to required project disclosures,Access to promoter's personal bank account,Access to unrelated company records,Access to income tax returns,A,2
Q0306,The allottee should preserve:,Payment receipts and transaction records,Newspaper advertisements only,Visiting cards,Social media screenshots,A,2
Q0307,Possession should generally be accepted by the allottee:,After completing the required legal and contractual formalities,Without verification,Before construction,Before booking,A,2
Q0308,Which document is most important while taking possession?,Possession-related documentation as applicable,Passport,Driving Licence,Ration Card,A,2
Q0309,An allottee should verify the project's registration:,Before booking,After resale,After five years,It is not necessary,A,2
Q0310,"If an allottee notices a discrepancy in project information, the allottee should:",Seek clarification using official documents,Ignore the issue,Spread rumours,Continue without verification,A,2
Q0311,An allottee has the responsibility to:,Follow the payment schedule agreed upon,Issue completion certificates,Approve project registration,Conduct structural audits,A,2
Q0312,"If the promoter provides revised official information, the allottee should:",Review the updated information carefully,Ignore the update,Reject it automatically,Stop communication,A,2
Q0313,Which practice helps an allottee avoid disputes?,Keeping written records,Relying only on verbal discussions,Ignoring documents,Paying without receipts,A,2
Q0314,An allottee should ask questions whenever:,Any project detail is unclear,Never,Only after possession,Only after registration of the sale deed,A,2
Q0315,The Agreement for Sale should be:,Read carefully before signing,Signed without reading,Ignored,Replaced by verbal assurances,A,2
Q0316,Which action demonstrates responsible conduct by an allottee?,Reporting genuine discrepancies through appropriate channels,Making false complaints,Ignoring contractual obligations,Hiding payment records,A,2
Q0317,Which of the following protects an allottee's interests the most?,Proper documentation,Rumours,Oral promises only,Informal agreements,A,2
Q0318,"Before paying any instalment, an allottee should:",Understand the payment schedule and related terms,Depend only on verbal instructions,Ignore receipts,Skip documentation,A,2
Q0319,Which of the following should an allottee keep safely?,Agreement for Sale,Payment receipts,Official correspondence,All of the above,D,2
Q0320,"If an allottee changes their correspondence address, they should:",Inform the promoter in accordance with the agreement or applicable procedure,Inform no one,Wait until possession,Change it verbally only,A,2
Q0321,Which right allows an allottee to seek accurate project information?,Right to transparency,Right to avoid documentation,Right to ignore agreements,Right to modify approvals,A,2
Q0322,"If an allottee receives an important project notice, the allottee should:",Read and preserve it,Ignore it,Delete it immediately,Return it unopened,A,2
Q0323,The allottee should maintain:,Copies of all important project documents,Only advertisements,Only photographs,No records,A,2
Q0324,"Before signing any undertaking, the allottee should:",Understand its contents,Sign immediately,Leave it blank,Ignore the conditions,A,2
Q0325,Which quality is most beneficial for an allottee?,Awareness of rights and responsibilities,Carelessness,Blind trust,Delay in communication,A,2
Q0326,An allottee should communicate important concerns:,Promptly and in writing where appropriate,Only through rumours,After possession,Never,A,2
Q0327,"If clarification is required regarding a payment demand, the allottee should:",Seek clarification before making payment,Ignore the demand,Pay without checking,Delay indefinitely,A,2
Q0328,Which of the following supports a smooth property transaction?,Timely communication by both parties,Delayed responses,Hidden conditions,Oral commitments only,A,2
Q0329,An allottee should rely primarily on:,Official documents and verified information,Social media rumours,Unverified WhatsApp messages,Market gossip,A,2
Q0330,The overall objective of protecting allottee rights under RERA is:,"Ensure fairness, transparency, and consumer protection",Increase taxes,Promote litigation,Reduce documentation,A,2
Q0331,A certified real estate agent should accept an assignment only when:,The legal requirements applicable to the transaction can be complied with,The commission is high,The promoter requests secrecy,The buyer agrees verbally,A,2
Q0332,"If a buyer asks whether an agent is registered under MahaRERA, the agent should:",Provide the registration details when required,Refuse to answer,Change the topic,Say registration is confidential,A,2
Q0333,Which practice best reflects impartial professional advice?,Recommending a property that genuinely matches the buyer's needs,Recommending only the property with the highest commission,Hiding better alternatives,Discouraging comparisons,A,2
Q0334,An agent receives confidential financial information from a buyer. The agent should:,Protect the information and use it only for the intended transaction,Share it with other clients,Post it online,Use it for marketing,A,2
Q0335,"Before circulating a promotional email, an agent should:",Verify that all project details are accurate,Add unverified claims,Remove important conditions,Exaggerate amenities,A,2
Q0336,A promoter asks the agent to hide an ongoing legal issue related to the project. The agent should:,Decline to conceal material information,Follow the instruction,Say nothing if the buyer does not ask,Mention it only after booking,A,2
Q0337,Which action demonstrates professionalism during negotiations?,Remaining respectful and factual,Pressuring the buyer to decide immediately,Criticizing competitors without evidence,Making unrealistic promises,A,2
Q0338,An agent should maintain records of:,"Client interactions and transaction-related documents, where appropriate",Only office expenses,Personal travel plans,Newspaper advertisements,A,2
Q0339,"If a buyer asks about a clause the agent does not fully understand, the best response is:",Verify the clause or advise consulting an appropriate professional,Guess its meaning,Ignore the question,Change the subject,A,2
Q0340,A professional agent should respond to complaints by:,Listening carefully and addressing them through proper communication,Ignoring the complaint,Arguing with the buyer,Blocking the buyer's phone number,A,2
Q0341,Which behaviour can damage an agent's professional reputation?,Providing misleading information,Maintaining transparency,Keeping proper records,Following legal requirements,A,2
Q0342,An agent should disclose any potential conflict of interest:,Before the buyer makes a decision,After possession,Only if someone asks,Never,A,2
Q0343,"When explaining a project's features, an agent should:",Distinguish between confirmed features and proposed features,Treat both as identical,Focus only on attractive points,Ignore project documents,A,2
Q0344,A buyer asks for the latest official project update. The agent should:,Refer to the most recent verified project information,Use an old brochure,Guess the status,Rely on social media,A,2
Q0345,Which practice best supports ethical marketing?,Avoiding exaggerated claims,Guaranteeing appreciation,Promising fixed returns,Hiding project limitations,A,2
Q0346,"If a buyer needs time to compare projects, the agent should:",Respect the buyer's decision-making process,Create artificial urgency,Withdraw assistance,Refuse further communication,A,2
Q0347,A certified real estate agent should improve professional knowledge by:,Keeping up with changes in real estate laws and regulations,Avoiding training,Ignoring legal updates,Depending only on experience,A,2
Q0348,Which document is most useful for confirming officially disclosed project details?,Official project registration information,Promotional banner,Newspaper advertisement,Sales leaflet,A,2
Q0349,"If a buyer points out an error in the information provided, the agent should:",Verify and correct the information promptly,Ignore the buyer,Defend the error,Blame the promoter,A,2
Q0350,Which quality contributes most to long-term client trust?,Consistency and honesty,Aggressive selling,Frequent exaggeration,Hidden conditions,A,2
Q0351,"Before recommending a financing option, an agent should:",Explain that financing terms should be confirmed with the lender,Promise guaranteed approval,Fix the interest rate independently,Approve the loan personally,A,2
Q0352,An agent should avoid forwarding:,Unverified project information,Official updates,Approved documents,Verified disclosures,A,2
Q0353,Which communication method reduces misunderstandings?,Clear written communication where appropriate,Informal verbal assurances only,Last-minute changes,Incomplete explanations,A,2
Q0354,"If a buyer wants to inspect available project documents before booking, the agent should:",Facilitate access to the documents that may lawfully be shared,Refuse immediately,Delay without reason,Ask the buyer to rely only on advertisements,A,2
Q0355,Which behaviour best reflects accountability?,Admitting and correcting genuine mistakes,Hiding errors,Deleting records,Ignoring buyer feedback,A,2
Q0356,A professional agent should ensure that advertising material is:,Consistent with official project information,Designed to create unrealistic expectations,Missing important conditions,Based on assumptions,A,2
Q0357,"If an agent receives updated possession information, the agent should:",Communicate the verified update accurately,Continue using outdated information,Wait until registration,Ignore the update,A,2
Q0358,Which of the following best reflects ethical service?,Treating every client fairly regardless of transaction value,Giving priority only to high-value clients,Ignoring first-time buyers,Providing different facts to different buyers,A,2
Q0359,An agent's responsibility after booking generally includes:,Continuing to provide accurate assistance related to the transaction,Ending all communication,Avoiding documentation,Ignoring buyer queries,A,2
Q0360,The professional code of conduct for a real estate agent is primarily intended to:,"Promote ethical, transparent, and lawful real estate practices",Increase commissions,Reduce buyer awareness,Replace legal requirements,A,2
Q0361,The primary purpose of an Agreement for Sale is to:,Define the rights and obligations of the promoter and allottee,Transfer ownership immediately,Replace all statutory approvals,Eliminate registration requirements,A,2
Q0362,"Before signing an Agreement for Sale, an allottee should:",Carefully read all terms and conditions,Sign without verification,Depend only on verbal promises,Ignore annexures,A,2
Q0363,The Agreement for Sale generally specifies:,Payment schedule,Unit details,Possession-related terms,All of the above,D,2
Q0364,"If there is a difference between a brochure and the Agreement for Sale, an agent should:",Advise the buyer to rely on the legally applicable documents and seek clarification where necessary,Ignore the difference,Follow the brochure only,Choose whichever is more attractive,A,2
Q0365,A purchaser should preserve a signed copy of the Agreement for Sale because it:,Is an important contractual document,Is useful only for tax purposes,Has no legal relevance,Is required only for resale,A,2
Q0366,Which of the following should be verified before accepting possession?,Completion of applicable formalities,Relevant possession-related documentation,Condition of the allotted unit,All of the above,D,2
Q0367,A real estate agent should never advise a buyer to:,Skip reading the Agreement for Sale,Review important clauses,Seek clarification when needed,Preserve signed documents,A,2
Q0368,"If an allottee identifies a typographical error in the agreement before signing, the allottee should:",Request correction before execution,Ignore the error,Sign first and discuss later,Tear the document,A,2
Q0369,Which document records the mutually agreed contractual terms between the promoter and allottee?,Agreement for Sale,Advertisement,Price list,Visiting card,A,2
Q0370,"Before taking possession, the allottee should ensure:",Relevant contractual and legal requirements have been complied with,Only furniture is ready,Only electricity is available,Only parking is allotted,A,2
Q0371,The possession date referred to in the Agreement for Sale should be:,Clearly understood by both parties,Ignored,Estimated verbally,Decided after possession,A,2
Q0372,Which action best protects the allottee at the time of possession?,Inspecting the property and documenting observations where appropriate,Accepting possession without inspection,Ignoring visible issues,Relying only on oral assurances,A,2
Q0373,"If an allottee has doubts about a clause in the agreement, the allottee should:",Seek clarification before signing,Leave the clause unread,Cross it out without consent,Ignore the concern,A,2
Q0374,The Agreement for Sale should accurately mention:,Unit identification details,Payment terms,Rights and obligations,All of the above,D,2
Q0375,A promoter should avoid making commitments that:,Are inconsistent with the written agreement or verified disclosures,Match official disclosures,Are legally compliant,Are documented,A,2
Q0376,Which practice helps reduce disputes after possession?,Proper documentation and inspection,Verbal communication only,Ignoring records,Delaying documentation,A,2
Q0377,The allottee should preserve:,Agreement for Sale,Possession-related documents,Payment receipts,All of the above,D,2
Q0378,"Before signing the agreement, an agent should encourage the buyer to:",Read all important clauses carefully,Focus only on the price,Ignore annexures,Skip legal review entirely,A,2
Q0379,Which action demonstrates transparency by the promoter?,Explaining important contractual terms accurately,Hiding conditions,Making undocumented promises,Omitting material information,A,2
Q0380,The allottee should verify the unit details mentioned in:,The Agreement for Sale,Visiting card,Newspaper advertisement,Business brochure only,A,2
Q0381,"Before signing, the buyer should ensure:",Names and property details are correctly recorded,Blank spaces are left unfilled,Annexures are removed,Payment schedule is ignored,A,2
Q0382,If any correction is required in the agreement:,It should be addressed before execution following proper procedure,It should be ignored,It should be discussed only after possession,It should be communicated verbally only,A,2
Q0383,Which document usually becomes important in resolving contractual disputes?,Signed Agreement for Sale,Newspaper advertisement,Sales brochure,Office visiting card,A,2
Q0384,An allottee should maintain:,Copies of all signed property documents,Only booking messages,Only promotional emails,No records,A,2
Q0385,A real estate agent should explain:,The importance of reading contractual documents,That documents are unnecessary,That verbal promises are sufficient,That brochures replace agreements,A,2
Q0386,Possession-related communication should preferably be:,Clear and properly documented,Informal only,Delayed,Verbal only,A,2
Q0387,The buyer should compare:,The agreed specifications with the contractual documents,Only the brochure cover page,Only the project logo,Only social media posts,A,2
Q0388,Which practice demonstrates good record management by an allottee?,Safely preserving all agreements and receipts,Discarding documents after booking,Keeping only photocopies of advertisements,Depending on memory,A,2
Q0389,"If possession is offered, the allottee should:",Verify compliance with the applicable agreement and documentation before acceptance,Accept immediately without inspection,Ignore documentation,Depend only on verbal communication,A,2
Q0390,The overall purpose of a properly executed Agreement for Sale is to:,"Create clarity, transparency, and enforceable contractual obligations",Eliminate statutory requirements,Replace project registration,Remove the need for documentation,A,2
Q0391,"Under RERA, a complaint can generally be filed by:",An aggrieved person,Only a promoter,Only a real estate agent,Only a government officer,A,2
Q0392,The primary objective of the complaint mechanism under RERA is:,To provide an avenue for dispute resolution under the Act,To increase registration fees,To approve construction plans,To collect taxes,A,2
Q0393,"If an allottee believes that mandatory disclosures have not been made, the allottee may:",Seek the remedies available under the Act,Ignore the issue,Cancel the project registration,Register the project personally,A,2
Q0394,Which authority decides matters that fall within its jurisdiction under the RERA Act?,The Real Estate Regulatory Authority,Regional Transport Office,Municipal School Board,Electricity Distribution Company,A,2
Q0395,A real estate agent receives a notice from the Authority. The most appropriate action is to:,Respond within the prescribed process and timeline,Ignore the notice,Destroy the records,Stop communicating,A,2
Q0396,Appeals under the RERA framework are intended to:,Provide review of eligible decisions through the prescribed mechanism,Increase project cost,Replace project registration,Cancel all agreements automatically,A,2
Q0397,Which principle is essential during complaint proceedings?,Natural justice and fair opportunity,Personal opinion,Social media voting,Newspaper reports,A,2
Q0398,"If an agent receives a complaint from a buyer, the agent should first:",Understand the issue and preserve relevant records,Delete all communications,Ignore the buyer,Ask the buyer to withdraw the complaint,A,2
Q0399,Proper documentation helps during:,Complaint resolution,Property decoration,Home loan marketing,Interior design,A,2
Q0400,The purpose of penalties under RERA is primarily to:,Encourage compliance with the law,Increase government revenue only,Discourage project registration,Promote litigation,A,2
Q0401,A buyer alleges misleading information in an advertisement. Which records may assist in resolving the issue?,Marketing material and transaction-related documents,Personal diary,Visiting card,Newspaper cutting alone,A,2
Q0402,Which stakeholder should cooperate during an inquiry?,All concerned parties,Only buyers,Only promoters,Only banks,A,2
Q0403,"If an agent discovers an error in documents submitted during proceedings, the agent should:",Correct the error through the proper process,Hide the mistake,Destroy the documents,Ignore it,A,2
Q0404,Which quality is most important while responding to regulatory notices?,Accuracy,Delay,Guesswork,Secrecy,A,2
Q0405,The complaint process promotes:,Accountability,Transparency,Consumer confidence,All of the above,D,2
Q0406,"During dispute resolution, a real estate agent should:",Cooperate honestly and provide relevant information,Conceal records,Mislead the Authority,Avoid communication,A,2
Q0407,Which of the following is a good compliance practice?,Maintaining complete transaction records,Destroying documents after booking,Keeping only verbal records,Ignoring written communication,A,2
Q0408,An appeal should generally be filed:,In accordance with the prescribed legal procedure,Only through social media,Without documents,After project completion only,A,2
Q0409,Which of the following can strengthen a party's position during a dispute?,Authentic documentary evidence,Rumours,Assumptions,Unverified statements,A,2
Q0410,The purpose of maintaining proper communication during a dispute is to:,Reduce misunderstandings,Increase conflict,Delay proceedings,Avoid documentation,A,2
Q0411,"If a buyer files a complaint, the promoter should:",Respond through the appropriate legal process,Ignore the complaint,Stop all communication,Cancel the buyer's booking immediately,A,2
Q0412,A certified real estate agent should treat regulatory proceedings:,Seriously and professionally,Casually,As optional,As marketing opportunities,A,2
Q0413,Which principle helps ensure fairness during adjudication?,Opportunity to present relevant facts,Personal influence,Political pressure,Public opinion,A,2
Q0414,Which document is likely to become important during complaint proceedings?,Agreement for Sale,Visiting Card,Newspaper advertisement only,Office calendar,A,2
Q0415,Which action may reduce the likelihood of complaints?,Transparent communication from the beginning,Hidden charges,Misleading advertisements,False assurances,A,2
Q0416,Which quality is expected from all parties during proceedings?,Good faith,Negligence,Concealment,Misrepresentation,A,2
Q0417,A promoter and allottee disagree over possession-related communication. The best supporting evidence would usually be:,Written records and official correspondence,Rumours,Telephone memory,Social media comments,A,2
Q0418,"During an inquiry, a real estate agent should:",Provide truthful information,Guess answers,Hide project records,Refuse cooperation,A,2
Q0419,Which practice best reflects regulatory compliance?,Following notices and lawful directions promptly,Ignoring official communication,Destroying records,Avoiding documentation,A,2
Q0420,The overall purpose of the complaint and appeal mechanism under RERA is:,Fair and transparent resolution of disputes under the Act,Promote unnecessary litigation,Increase brokerage,Reduce project disclosures,A,2
Q0421,"Before introducing a property to a client, an agent should first:",Confirm that the available information is current and verified,Prepare a discount offer,Collect the brokerage in advance,Arrange possession,A,2
Q0422,A buyer asks whether there are any restrictions on the property. The agent should:,Share verified information available from official records and project documents,Assume there are no restrictions,Avoid answering,Promise there are none,A,2
Q0423,Which practice best demonstrates due diligence?,Cross-checking documents before advising a client,Relying only on advertisements,Accepting verbal statements without verification,Ignoring inconsistencies,A,2
Q0424,"If two buyers are interested in the same unit, an ethical agent should:",Follow a transparent and fair process,Give preference to the buyer offering extra commission,Hide information from one buyer,Create false urgency,A,2
Q0425,"When maintaining client records, an agent should ensure they are:",Organized and available when legitimately required,Shared with anyone who asks,Deleted after every inquiry,Kept only verbally,A,2
Q0426,A promoter asks an agent to remove important conditions from a marketing presentation. The agent should:,Refuse to remove material information,Follow the instruction immediately,Remove only part of the information,Publish the presentation without checking,A,2
Q0427,"If an allottee misunderstands a payment milestone, the agent should:",Explain the schedule using the relevant documents,Ask the buyer to ignore the issue,Create a new payment schedule,Refer only to verbal discussions,A,2
Q0428,Which action reflects responsible client service?,Responding to queries within a reasonable time,Ignoring follow-up messages,Delaying every response,Avoiding written communication,A,2
Q0429,"If an agent cannot immediately answer a buyer's question, the best response is:",Verify the information before replying,Guess the answer,Change the topic,Give an approximate answer,A,2
Q0430,Which quality is most important when explaining legal documents?,Accuracy,Speed,Persuasion,Advertising skill,A,2
Q0431,A professional agent should encourage buyers to:,Keep copies of all important documents,Rely only on memory,Ignore receipts,Discard agreements after registration,A,2
Q0432,Which situation requires the greatest level of document verification?,Before a buyer commits to a transaction,After resale,After renovation,After interior decoration,A,2
Q0433,A buyer asks whether all information in a brochure is guaranteed. The agent should:,Explain that official documents and disclosures should be relied upon where applicable,Say every brochure is legally binding,Guarantee every statement personally,Ignore the question,A,2
